,uid,title,genre,aired,episodes,members,popularity,ranked,score
17949,22273,Selector Infected WIXOSS,"['Game', 'Psychological']","Apr 4, 2014 to Jun 20, 2014",12.0,116043,975,2478.0,7.32
17950,2726,Sukeban Deka,"['Action', 'Police', 'Drama', 'School', 'Shoujo']","Apr 21, 1991 to Jul 21, 1991",2.0,3696,6490,5952.0,6.53
17955,36732,Qin Shi Ming Yue: Tian Xing Jiu Ge,"['Action', 'Fantasy', 'Historical', 'Martial Arts']","Mar 10, 2016 to Jul 5, 2018",60.0,863,9882,2472.0,7.32
17956,15905,Qin Shi Ming Yue: Wanli Changcheng,"['Action', 'Historical', 'Martial Arts', 'Fantasy']","Sep 30, 2012 to 2013",37.0,899,9747,2473.0,7.32
17957,35330,Poputepipikku,"['Comedy', 'Parody', 'Dementia']","Jan 7, 2018 to Mar 25, 2018",12.0,135702,830,2471.0,7.32
17959,4114,Onegai My Melody: Kuru Kuru Shuffle!,"['Fantasy', 'Magic', 'Comedy']","Apr 2, 2006 to Mar 25, 2007",52.0,2820,7146,2469.0,7.32
17960,5597,Natsu no Arashi!,"['Comedy', 'Romance', 'Supernatural']","Apr 6, 2009 to Jun 29, 2009",13.0,41053,2148,2467.0,7.32
17961,13585,Natsuyuki Rendezvous,"['Supernatural', 'Drama', 'Romance', 'Josei']","Jul 6, 2012 to Sep 14, 2012",11.0,58415,1700,2468.0,7.32
17965,37023,Layton Mystery Tanteisha: Katri no Nazotoki File,"['Mystery', 'Comedy', 'Kids']","Apr 8, 2018 to Mar 31, 2019",50.0,11600,4080,2463.0,7.32
17966,1374,Kyoushoku Soukou Guyver (2005),"['Adventure', 'Sci-Fi', 'Shounen']","Aug 6, 2005 to Feb 18, 2006",26.0,16662,3495,2462.0,7.32
17968,16732,Kiniro Mosaic,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jul 6, 2013 to Sep 21, 2013",12.0,134199,845,2459.0,7.32
17969,35145,Kobayashi-san Chi no OO Dragon,"['Slice of Life', 'Comedy', 'Fantasy']","Mar 15, 2017 to Sep 20, 2017",7.0,53696,1805,2460.0,7.32
17970,37036,Binan Koukou Chikyuu Boueibu Happy Kiss!,"['Comedy', 'Magic', 'Parody', 'School', 'Slice of Life']","Apr 9, 2018 to Jul 2, 2018",12.0,7902,4779,5658.0,6.58
17971,7875,Kanokon: Manatsu no Dai Shanikusai Specials,['Ecchi'],"Nov 25, 2009 to Dec 22, 2009",2.0,14456,3724,5575.0,6.6
17972,4361,Grenadier: Hohoemi no Senshi Specials,"['Ecchi', 'Parody', 'Comedy']","Jan 28, 2005 to Jun 29, 2005",7.0,5189,5666,5571.0,6.6
