,uid,title,genre,aired,episodes,members,popularity,ranked,score
5100,37338,Chuukan Kanriroku Tonegawa,"['Comedy', 'Parody', 'Psychological', 'Drama', 'Seinen']","Jul 4, 2018 to Dec 26, 2018",24.0,25102,2845,3213.0,7.14
5102,2913,Daisougen no Chiisana Tenshi: Bush Baby,"['Adventure', 'Drama']","Jan 12, 1992 to Dec 20, 1992",40.0,1672,8352,3214.0,7.14
5103,228,Jigoku Shoujo,"['Mystery', 'Horror', 'Psychological', 'Supernatural']","Oct 5, 2005 to Apr 5, 2006",26.0,250512,393,1128.0,7.71
5106,1336,Kyoushoku Soukou Guyver II,"['Action', 'Adventure', 'Drama', 'Horror', 'Sci-Fi']","Oct 24, 1991 to Aug 21, 1992",6.0,6412,5197,3263.0,7.13
5111,448,Tenjou Tenge: The Ultimate Fight,"['Adventure', 'Drama', 'Martial Arts', 'Romance', 'Shounen', 'Supernatural']","Mar 16, 2005",2.0,35252,2333,3323.0,7.12
5113,7152,Anyamal Tantei Kiruminzoo,"['Magic', 'Comedy', 'Shoujo']","Oct 5, 2009 to Sep 20, 2010",50.0,5601,5501,3328.0,7.11
5114,1079,Armitage III,"['Action', 'Adventure', 'Romance', 'Mecha', 'Sci-Fi', 'Police']","Feb 25, 1995 to Nov 25, 1995",4.0,22617,3005,3330.0,7.11
5115,37982,Domestic na Kanojo,"['Drama', 'Romance', 'School', 'Shounen']","Jan 12, 2019 to Mar 30, 2019",12.0,213751,510,3334.0,7.11
5116,33203,Fukumenkei Noise,"['Music', 'Drama', 'Romance', 'School', 'Shoujo']","Apr 11, 2017 to Jun 27, 2017",12.0,68988,1519,3337.0,7.11
5117,30988,Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,"['Slice of Life', 'Comedy', 'Seinen']","Mar 23, 2015 to Jun 22, 2016",2.0,6092,5321,3338.0,7.11
5118,34280,Gamers!,"['Comedy', 'Romance', 'School']","Jul 13, 2017 to Sep 28, 2017",12.0,330040,295,3339.0,7.11
5120,37447,Karakuri Circus (TV),"['Action', 'Adventure', 'Mystery', 'Drama', 'Shounen']","Oct 11, 2018 to Jun 27, 2019",36.0,56787,1743,3346.0,7.11
5129,36913,Inazuma Eleven x Kaitou Gru no Tsuki Dorobou,['Comedy'],"Feb, 2011 to Mar, 2011",4.0,1031,9460,8813.0,5.85
5148,30382,Aquarion Logos,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Romance', 'Sci-Fi']","Jul 3, 2015 to Dec 25, 2015",26.0,17559,3410,8972.0,5.8
5152,40438,Obsolete,['Mecha'],"Dec 3, 2019",6.0,2325,7588,8991.0,5.78
5153,27457,Porong Porong Pororo 4,"['Cars', 'Kids']","Feb 29, 2012 to May 24, 2012",26.0,199,13448,8992.0,5.8
5154,12907,Sekiei Ayakashi Mangatan,"['Fantasy', 'Historical', 'Supernatural']","Feb 2, 2012 to Mar 1, 2012",3.0,3144,6901,8995.0,5.8
5155,33936,JA Kumamoto Keizairen,['Music'],"May 16, 2016 to Oct 31, 2019",2.0,261,12522,9005.0,5.79
5156,35981,Kino,['Slice of Life'],"Jul 12, 2013 to Jul 6, 2014",2.0,169,13943,9075.0,5.77
5158,38676,Macross Δ Movie: Gekijou no Walküre Specials,['Comedy'],"Aug 28, 2018",2.0,504,10994,9079.0,5.77
5160,2522,Rakushou! Hyper Doll,"['Magic', 'Adventure', 'Comedy', 'Sci-Fi', 'Shounen']","Sep 25, 1995 to Nov 25, 1995",2.0,1601,8462,9089.0,5.77
5161,1227,Shuten Douji,"['Space', 'Supernatural', 'Demons', 'Historical', 'Horror', 'Sci-Fi', 'Shounen']","Dec 21, 1989 to Dec 21, 1991",4.0,2018,7929,9095.0,5.77
5168,786,Pugyuru,"['Comedy', 'Fantasy', 'School']","Apr 12, 2004 to Jul 5, 2004",13.0,3517,6616,9124.0,5.76
5176,34289,Schoolgirl Strikers: Animation Channel,"['Action', 'Sci-Fi', 'School']","Jan 7, 2017 to Apr 1, 2017",13.0,16450,3521,9256.0,5.72
5181,10302,Pocket Monsters: Diamond & Pearl Tokubetsu-hen,"['Action', 'Comedy', 'Kids', 'Fantasy']","Feb 3, 2011",2.0,8689,4599,3477.0,7.08
5182,3424,Porphy no Nagai Tabi,"['Drama', 'Historical', 'Kids', 'Slice of Life']","Jan 6, 2008 to Dec 28, 2008",52.0,2096,7852,3478.0,7.08
5184,991,Usagi-chan de Cue!!,"['Action', 'Comedy', 'Ecchi', 'Magic', 'Romance']","Nov 9, 2001 to Apr 26, 2002",3.0,4533,5985,9261.0,5.72
5189,9708,Mobile Suit Gundam ZZ: Gundam Frag.,"['Action', 'Mecha', 'Military', 'Sci-Fi']","Sep 25, 2009 to Nov 25, 2009",2.0,3348,6751,9274.0,5.71
5190,1573,Kishin Douji Zenki,"['Action', 'Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Horror', 'Magic', 'Shounen']","Jan 9, 1995 to Dec 25, 1995",51.0,9048,4524,3600.0,7.05
5193,7088,Ichiban Ushiro no Daimaou,"['Action', 'Harem', 'Comedy', 'Magic', 'Ecchi', 'Fantasy', 'School']","Apr 3, 2010 to Jun 19, 2010",12.0,331530,291,3598.0,7.05
5196,37259,Hanebado!,"['Seinen', 'Sports']","Jul 2, 2018 to Oct 1, 2018",13.0,103159,1078,3595.0,7.05
5197,4765,Gunslinger Girl: Il Teatrino OVA,"['Action', 'Drama', 'Military', 'Sci-Fi']","Oct 24, 2008",2.0,19427,3234,3594.0,7.05
5198,507,Gravitation: Lyrics of Love,"['Comedy', 'Romance', 'Shoujo', 'Shounen Ai']","Jul 23, 1999 to Sep 22, 1999",2.0,26281,2763,3593.0,7.05
5199,30544,Gakusen Toshi Asterisk,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi', 'Supernatural']","Oct 3, 2015 to Dec 19, 2015",12.0,365685,248,3592.0,7.05
5203,35286,Henkei Shoujo,['Sci-Fi'],"Mar 26, 2017 to Oct 24, 2017",5.0,12674,3928,9293.0,5.7
5204,33366,Toukiden 2,"['Action', 'Demons']","Jun 30, 2016 to Jul 12, 2016",3.0,473,11125,9307.0,5.7
5207,20785,Mahouka Koukou no Rettousei,"['Action', 'Sci-Fi', 'Supernatural', 'Magic', 'Romance', 'School']","Apr 6, 2014 to Sep 28, 2014",26.0,567267,105,1198.0,7.68
5208,33028,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,"['Action', 'Mystery', 'Horror', 'Psychological', 'School']","Jul 14, 2016 to Sep 22, 2016",11.0,163673,680,1300.0,7.64
5210,7647,Arakawa Under the Bridge,"['Comedy', 'Romance', 'Seinen']","Apr 5, 2010 to Jun 28, 2010",13.0,248213,403,1298.0,7.64
5211,10495,Yuru Yuri,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']","Jul 5, 2011 to Sep 20, 2011",12.0,241145,416,1295.0,7.65
5213,32681,Uchuu Patrol Luluco,"['Action', 'Adventure', 'Comedy', 'Space']","Apr 1, 2016 to Jun 24, 2016",13.0,108580,1029,1291.0,7.65
5215,14227,Tonari no Kaibutsu-kun,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shoujo']","Oct 2, 2012 to Dec 25, 2012",13.0,591503,95,1289.0,7.65
5216,16011,Tokyo Ravens,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'School']","Oct 9, 2013 to Mar 26, 2014",24.0,303742,317,1288.0,7.65
5221,37268,Z/X: Code Reunion,"['Sci-Fi', 'Fantasy', 'School', 'Shounen']","Oct 8, 2019 to Dec 24, 2019",12.0,8074,4743,9407.0,5.67
5222,33746,Anitore! XX: Hitotsu Yane no Shita de,"['Comedy', 'Sports']","Oct 5, 2016 to Dec 21, 2016",12.0,11297,4131,9408.0,5.66
5223,2837,Ariel Deluxe,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']","Jan 21, 1991 to Apr 21, 1991",2.0,1034,9433,9409.0,5.66
5226,39397,Ore ga Suki nano wa Imouto dakedo Imouto ja Nai Specials,"['Comedy', 'Ecchi', 'Harem']","Feb 27, 2019 to Mar 27, 2019",2.0,7486,4896,9454.0,5.65
5228,30089,Zombie Clay Animation: Life of the Dead,"['Comedy', 'Horror']",2011 to 2012,4.0,248,12709,9467.0,5.65
5229,4939,Macross Fufonfia,"['Comedy', 'Parody']","May 27, 2008 to Oct 8, 2008",20.0,2694,7243,9486.0,5.64
5235,20705,Baka Misérables,"['Music', 'Parody']","May 21, 2013 to Jun 28, 2013",3.0,314,12019,9507.0,5.63
5237,3025,Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,"['Action', 'Fantasy', 'Magic']","Oct 21, 1992 to Nov 21, 1992",2.0,1244,9068,9512.0,5.63
5238,32251,Mirai e no Kakehashi: Bridge for Future,['Slice of Life'],"Oct 1, 2015 to Aug 1, 2016",6.0,509,10963,9524.0,5.63
5239,37877,Promedicus,['School'],"Jan 26, 2018 to Feb 10, 2018",4.0,172,13913,9530.0,5.63
5241,11661,Robo to Shoujo (Kari),"['Action', 'Comedy', 'Mecha', 'Sci-Fi']","Jun 16, 2010 to Jun 19, 2011",9.0,1477,8673,9552.0,5.62
5243,36943,Tachibanakan Triangle,"['Comedy', 'Ecchi', 'Shoujo Ai']","Apr 4, 2018 to Jun 20, 2018",12.0,40905,2165,9556.0,5.62
5249,12769,Yumemakura Baku Twilight Gekijou,"['Horror', 'Psychological']","May 21, 1991 to Nov 21, 1991",4.0,744,10121,9640.0,5.59
5256,1014,Chicchana Yukitsukai Sugar Specials,"['Slice of Life', 'Magic', 'Comedy', 'Shoujo']","Aug 21, 2003 to Aug 28, 2003",2.0,4591,5944,3585.0,7.05
5257,14751,Bishoujo Senshi Sailor Moon Crystal,"['Demons', 'Magic', 'Romance', 'Shoujo']","Jul 5, 2014 to Jul 18, 2015",26.0,96213,1143,3581.0,7.05
5258,1225,3x3 Eyes: Seima Densetsu,"['Action', 'Adventure', 'Horror', 'Demons', 'Romance', 'Fantasy']","Jul 25, 1995 to Jun 25, 1996",3.0,11393,4114,3579.0,7.05
5266,343,Tsukuyomi: Moon Phase,"['Comedy', 'Fantasy', 'Romance', 'Seinen', 'Vampire']","Oct 5, 2004 to Mar 29, 2005",25.0,59379,1679,3573.0,7.06
5267,12321,Thermae Romae,"['Comedy', 'Historical', 'Seinen']","Jan 13, 2012 to Jan 27, 2012",3.0,18165,3350,3572.0,7.06
5270,11841,Qin Shi Ming Yue: Ye Jin Tianming,"['Action', 'Historical', 'Martial Arts', 'Fantasy']","Jul 17, 2008 to 2008",18.0,887,9772,3567.0,7.06
5272,1492,Project ARMS,"['Action', 'Martial Arts', 'Super Power']","Apr 7, 2001 to Sep 29, 2001",26.0,9933,4359,3566.0,7.06
5273,31138,Overlord: Ple Ple Pleiades,"['Action', 'Comedy', 'Magic', 'Fantasy']","Sep 25, 2015 to Feb 24, 2016",8.0,54199,1797,3565.0,7.06
5276,3656,Monochrome Factor,"['Action', 'Shounen Ai', 'Supernatural']","Apr 8, 2008 to Sep 30, 2008",24.0,47414,1969,3562.0,7.06
5278,1711,Ryuusei Sentai Musumet,"['Adventure', 'Comedy', 'Ecchi', 'Romance', 'Sci-Fi']","Oct 4, 2004 to Dec 27, 2004",13.0,2045,7902,8600.0,5.92
5279,1685,Duel Masters,"['Action', 'Adventure', 'Comedy', 'Shounen']","Oct 21, 2002 to Apr 4, 2003",26.0,17742,3381,8650.0,5.9
5280,35067,Osomatsu-san 2nd Season,"['Comedy', 'Parody']","Oct 3, 2017 to Mar 27, 2018",25.0,35661,2327,1283.0,7.65
5283,10790,Kore wa Zombie Desu ka? of the Dead,"['Action', 'Harem', 'Comedy', 'Supernatural', 'Magic', 'Ecchi']","Apr 5, 2012 to Jun 7, 2012",10.0,279017,352,1280.0,7.65
5284,5494,Konnichiwa Anne: Before Green Gables,"['Drama', 'Historical', 'Kids', 'Slice of Life']","Apr 5, 2009 to Dec 27, 2009",39.0,4423,6044,1279.0,7.65
5285,33089,Kemono Friends,"['Adventure', 'Comedy', 'Fantasy']","Jan 11, 2017 to Mar 29, 2017",12.0,59898,1670,1278.0,7.65
5295,2026,Hayate no Gotoku!,"['Action', 'Harem', 'Comedy', 'Parody', 'Romance', 'Shounen']","Apr 1, 2007 to Mar 30, 2008",52.0,172863,629,1272.0,7.65
5297,17,Hungry Heart: Wild Striker,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']","Sep 11, 2002 to Sep 10, 2003",52.0,18370,3330,1273.0,7.65
5298,19447,Arata Kangatari Picture Drama,['Fantasy'],"Jun 21, 2013 to Nov 22, 2013",6.0,1841,8140,8646.0,5.9
5299,10793,Guilty Crown,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Romance', 'Mecha']","Oct 14, 2011 to Mar 23, 2012",22.0,781239,57,1271.0,7.65
5310,10958,High Score,"['Slice of Life', 'Comedy', 'School', 'Shoujo']","Nov 28, 2011 to Jan 30, 2012",8.0,6394,5204,9350.0,5.68
5314,1184,Lost Universe,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Shounen', 'Space']","Apr 3, 1998 to Sep 25, 1998",26.0,12400,3958,3558.0,7.06
5315,1384,Kyuuketsuhime Miyu,"['Action', 'Horror', 'Demons', 'Drama', 'Vampire', 'Shoujo']","Jul 21, 1988 to Apr 21, 1989",4.0,15196,3637,3557.0,7.06
5316,5968,Kinnikuman II Sei: Ultimate Muscle 2,"['Action', 'Sci-Fi', 'Comedy', 'Sports', 'Martial Arts', 'Shounen']","Jan 4, 2006 to Mar 29, 2006",13.0,3948,6320,3556.0,7.06
5319,1025,Kachou Ouji,"['Sci-Fi', 'Adventure', 'Music', 'Slice of Life', 'Space', 'Comedy']","Jul 8, 1999 to Oct 7, 1999",13.0,22722,2995,3553.0,7.06
5322,31056,Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,"['Comedy', 'Magic', 'Ecchi']","Sep 25, 2015 to Jan 29, 2016",5.0,22911,2989,3545.0,7.06
5325,291,D.C.S.S: Da Capo Second Season,"['Comedy', 'Harem', 'Romance', 'Supernatural', 'Drama']","Jul 2, 2005 to Dec 24, 2005",26.0,28387,2649,3541.0,7.06
5326,30463,Kyoufu Shinbun (2014),"['Horror', 'Demons', 'Supernatural', 'Fantasy']","Apr 28, 2014 to Aug 1, 2014",16.0,1309,8947,9384.0,5.67
5328,2706,Bakusou Kyoudai Let's & Go WGP,"['Cars', 'Sports', 'Shounen']","Jan 6, 1997 to Dec 22, 1997",51.0,4020,6262,3539.0,7.06
5329,37206,Anima Yell!,"['Comedy', 'School', 'Sports']","Oct 7, 2018 to Dec 23, 2018",12.0,25601,2813,3537.0,7.06
5332,311,Ace wo Nerae!,"['Sports', 'Drama', 'Romance', 'School', 'Shoujo']","Oct 5, 1973 to Mar 29, 1974",26.0,7342,4913,3534.0,7.06
5333,48,.hack//Sign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']","Apr 4, 2002 to Sep 26, 2002",26.0,143801,771,3532.0,7.06
5334,36148,Wangu Xian Qiong,"['Adventure', 'Comedy', 'Fantasy', 'Shounen']","May 18, 2017 to Jul 27, 2017",12.0,2943,7065,3531.0,7.07
5336,30363,Shinmai Maou no Testament Burst,"['Action', 'Ecchi', 'Fantasy', 'Romance', 'Harem', 'Demons']","Oct 10, 2015 to Dec 12, 2015",10.0,211651,511,3525.0,7.07
5338,40659,Senki Zesshou Symphogear XV: Senki Zesshou Shinai Symphogear,"['Slice of Life', 'Comedy']","Dec 4, 2019 to Mar 4, 2020",4.0,1371,8849,3523.0,7.07
5339,22663,Seiken Tsukai no World Break,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Supernatural']","Jan 12, 2015 to Mar 30, 2015",12.0,191980,564,3522.0,7.07
5340,37221,Release the Spyce,"['Action', 'School']","Oct 7, 2018 to Dec 23, 2018",12.0,45524,2025,3520.0,7.07
5342,28617,Punch Line,"['Comedy', 'Ecchi', 'Sci-Fi', 'Super Power', 'Supernatural']","Apr 10, 2015 to Jun 26, 2015",12.0,160630,693,3519.0,7.07
5343,2805,Onegai! Samia Don,"['Kids', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy']","Apr 2, 1985 to Feb 4, 1986",78.0,717,10188,3516.0,7.07
5344,1831,Iczer-Girl Iczelion,"['Action', 'Adventure', 'Sci-Fi']","Jan 27, 1995 to Mar 24, 1995",2.0,1910,8053,9325.0,5.69
5346,832,Ginsoukikou Ordian,"['Mecha', 'Sci-Fi']","Apr 4, 2000 to Sep 19, 2000",24.0,1994,7955,9115.0,5.76
5349,37021,Iya na Kao sare nagara Opantsu Misete Moraitai,['Ecchi'],"Jul 14, 2018 to Aug 13, 2018",6.0,43357,2081,8982.0,5.8
5350,31109,Hatsukoi Monster,"['Comedy', 'Romance', 'School', 'Shoujo']","Jul 2, 2016 to Sep 17, 2016",12.0,69655,1510,8979.0,5.8
5355,1951,Manie-Manie: Meikyuu Monogatari,"['Adventure', 'Fantasy', 'Horror', 'Sci-Fi', 'Supernatural']","Apr 15, 1989",3.0,19191,3256,3511.0,7.07
5356,1696,Murder Princess,"['Action', 'Adventure', 'Fantasy']","Mar 28, 2007 to Aug 29, 2007",6.0,48249,1944,3512.0,7.07
5359,5042,Kiss x Sis,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Seinen']","Dec 22, 2008 to Apr 6, 2015",12.0,210305,512,3507.0,7.07
5360,1864,Koisuru Tenshi Angelique: Kagayaki no Ashita,"['Drama', 'Fantasy', 'Harem', 'Romance', 'Shoujo']","Jan 6, 2007 to Mar 24, 2007",12.0,8099,4736,3508.0,7.07
5361,17741,Kimi no Iru Machi,"['Slice of Life', 'Drama', 'Romance', 'Shounen']","Jul 13, 2013 to Sep 28, 2013",12.0,103888,1073,3506.0,7.07
5362,24457,Houkago no Ouji-sama,"['Comedy', 'School', 'Shounen', 'Sports']","Oct 29, 2014 to Jun 26, 2015",5.0,2067,7886,3504.0,7.07
5364,13161,Hagure Yuusha no Aesthetica,"['Action', 'Super Power', 'Ecchi', 'Fantasy']","Jul 6, 2012 to Sep 21, 2012",12.0,267643,369,3502.0,7.07
5369,592,PopoloCrois,"['Adventure', 'Fantasy']","Oct 5, 2003 to Mar 28, 2004",26.0,1482,8660,3517.0,7.07
5371,32038,Show By Rock!! #,"['Music', 'Comedy']","Oct 2, 2016 to Dec 18, 2016",12.0,19768,3217,3526.0,7.07
5372,3667,Strike Witches,"['Action', 'Ecchi', 'Magic', 'Military', 'Sci-Fi']","Jul 4, 2008 to Sep 19, 2008",12.0,130402,861,3527.0,7.07
5384,2819,Dragon Quest: Abel Yuusha Densetsu,"['Action', 'Adventure', 'Fantasy', 'Shounen']","Dec 2, 1989 to Apr 5, 1991",43.0,3523,6611,3543.0,7.06
5385,598,Jinzou Ningen Kikaider The Animation,"['Action', 'Sci-Fi', 'Drama', 'Mecha', 'Shounen']","Oct 16, 2000 to Jan 8, 2001",13.0,7536,4860,3552.0,7.06
5386,17729,Grisaia no Kajitsu,"['Drama', 'Harem', 'Psychological', 'Romance', 'School']","Oct 5, 2014 to Dec 28, 2014",13.0,352751,267,1270.0,7.65
5388,31433,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Apr 3, 2018 to Jun 26, 2018",12.0,53631,1810,1269.0,7.65
5389,20031,D-Frag!,"['Game', 'Comedy', 'School', 'Seinen']","Jan 7, 2014 to Mar 25, 2014",12.0,266633,375,1267.0,7.65
5390,1239,Bishoujo Senshi Sailor Moon SuperS,"['Drama', 'Magic', 'Romance', 'Shoujo']","Mar 4, 1995 to Mar 2, 1996",39.0,75585,1411,1266.0,7.65
5392,3090,Aa! Megami-sama!: Tatakau Tsubasa,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","Dec 9, 2007",2.0,22575,3007,1264.0,7.65
5393,1946,Ashita no Nadja,"['Adventure', 'Drama', 'Historical', 'Romance', 'Shoujo']","Feb 2, 2003 to Jan 25, 2004",50.0,20971,3116,1265.0,7.65
5395,969,Tsubasa Chronicle 2nd Season,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Supernatural', 'Drama', 'Mystery', 'Shounen']","Apr 29, 2006 to Nov 4, 2006",26.0,96982,1127,1262.0,7.66
5396,1830,Utawarerumono Specials,"['Action', 'Fantasy', 'Comedy', 'Drama']","Aug 23, 2006 to Feb 21, 2007",6.0,13421,3840,1263.0,7.66
5399,36474,Sword Art Online: Alicization,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']","Oct 7, 2018 to Mar 31, 2019",24.0,388815,226,1260.0,7.66
5402,3470,Special A,"['Comedy', 'Romance', 'School', 'Shoujo']","Apr 7, 2008 to Sep 15, 2008",24.0,251530,391,1259.0,7.66
5407,30549,Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']","Oct 3, 2015 to Dec 26, 2015",13.0,10964,4171,1258.0,7.66
5409,34480,Shokugeki no Souma: Ni no Sara OVA,"['Ecchi', 'School', 'Shounen']","May 1, 2017 to Jul 4, 2017",2.0,89035,1219,1257.0,7.66
5414,2604,Sky Girls,"['Mecha', 'Military', 'Sci-Fi']","Jul 6, 2007 to Dec 28, 2007",26.0,20324,3167,3570.0,7.06
5415,12191,Smile Precure!,"['Action', 'Fantasy', 'Magic', 'Shoujo']","Feb 5, 2012 to Jan 27, 2013",48.0,18840,3291,3571.0,7.06
5416,4286,Bonobono (TV),['Comedy'],"Apr 20, 1995 to Mar 28, 1996",48.0,961,9594,3582.0,7.05
5417,33080,Brotherhood: Final Fantasy XV,['Action'],"Mar 31, 2016 to Sep 18, 2016",5.0,56892,1733,3584.0,7.05
5419,6489,Zero no Tsukaima: Princesses no Rondo Picture Drama,"['Action', 'Adventure', 'Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School']","Sep 25, 2008 to Mar 25, 2009",7.0,36076,2313,3699.0,7.03
5420,19877,Battle Spirits: Sword Eyes Gekitouden,"['Game', 'Adventure', 'Fantasy']","Apr 7, 2013 to Sep 8, 2013",21.0,1145,9259,3750.0,7.01
5421,5342,Asura Cryin',"['Action', 'Supernatural', 'Mecha']","Apr 2, 2009 to Jun 25, 2009",13.0,85281,1273,3749.0,7.01
5422,1892,YAT Anshin! Uchuu Ryokou 2,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']","Apr 11, 1998 to Oct 3, 1998",25.0,727,10160,3747.0,7.02
5424,33037,Tsukiuta. The Animation,['Music'],"Jul 6, 2016 to Sep 28, 2016",13.0,18509,3324,3745.0,7.02
5425,10249,Toaru Majutsu no Index-tan II,"['Comedy', 'Parody']","Jan 26, 2011 to Jun 22, 2011",2.0,29174,2608,3743.0,7.02
5426,34009,To Be Hero,['Comedy'],"Oct 5, 2016 to Dec 21, 2016",12.0,41829,2122,3741.0,7.02
5427,32881,Tiger Mask W,"['Action', 'Sports', 'Drama', 'Shounen']","Oct 2, 2016 to Jul 2, 2017",38.0,16521,3512,3740.0,7.02
5429,1357,Shin Hokuto no Ken,"['Action', 'Martial Arts', 'Sci-Fi', 'Shounen']","Jul 24, 2003 to May 28, 2004",3.0,10238,4296,3733.0,7.02
5430,12281,Rinne no Lagrange Season 2,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']","Jul 8, 2012 to Sep 23, 2012",12.0,23364,2954,3731.0,7.02
5431,5520,Onegai My Melody Sukkiri♪,"['Fantasy', 'Magic', 'Comedy']","Apr 1, 2007 to Mar 24, 2008",52.0,1576,8509,3728.0,7.01
5432,9712,Maria†Holic Alive,"['Comedy', 'Parody', 'School', 'Shoujo Ai']","Apr 8, 2011 to Jun 24, 2011",12.0,51942,1849,3724.0,7.02
5433,2157,Koutetsushin Jeeg,"['Mecha', 'Sci-Fi']","Apr 5, 2007 to Jul 12, 2007",13.0,4898,5794,3723.0,7.02
5434,25087,Ie Naki Ko Remy Specials (2001),"['Adventure', 'Slice of Life', 'Drama']","Jul 14, 2001 to Jul 15, 2001",2.0,622,10529,3717.0,7.02
5435,33305,Hua Jianghu Zhi Ling Zhu,"['Action', 'Historical', 'Drama', 'Martial Arts', 'Fantasy']","Oct 8, 2015 to Jul 14, 2016",41.0,807,9965,3716.0,7.02
5437,39417,Granbelm,"['Fantasy', 'Magic', 'Mecha']","Jul 6, 2019 to Sep 27, 2019",13.0,32287,2468,3713.0,7.02
5438,1929,Futari wa Precure: Max Heart,"['Action', 'Comedy', 'Fantasy', 'Magic', 'Shoujo']","Feb 6, 2005 to Jan 29, 2006",47.0,11224,4137,3711.0,7.02
5440,127,Gate Keepers,"['Action', 'Comedy', 'Fantasy', 'Mecha', 'Sci-Fi', 'Shounen']","Apr 3, 2000 to Sep 18, 2000",24.0,17977,3367,3712.0,7.02
5451,3486,Yuusha Tokkyuu Might Gaine,"['Action', 'Sci-Fi', 'Adventure', 'Mecha']","Jan 30, 1993 to Jan 24, 1994",47.0,1905,8061,3698.0,7.03
5453,4415,World Destruction: Sekai Bokumetsu no Rokunin,"['Adventure', 'Fantasy']","Jul 8, 2008 to Sep 30, 2008",13.0,43728,2067,3696.0,7.03
5456,1584,Stratos 4 Advance Kanketsu-hen,"['Comedy', 'Military', 'Sci-Fi']","Sep 22, 2006 to Oct 22, 2006",2.0,2354,7545,3692.0,7.03
5458,30375,Starmyu,"['Music', 'School', 'Slice of Life']","Oct 6, 2015 to Dec 22, 2015",12.0,34102,2382,3691.0,7.03
5463,1104,Shinkon Gattai Godannar!! 2nd Season,"['Ecchi', 'Comedy', 'Mecha', 'Romance', 'Sci-Fi']","Apr 5, 2004 to Jun 27, 2004",13.0,6247,5264,3690.0,7.03
5464,941,Renkin San-kyuu Magical? Pokaan,"['Comedy', 'Ecchi', 'Magic', 'Parody', 'Vampire']","Apr 4, 2006 to Jun 20, 2006",12.0,24696,2870,3688.0,7.03
5467,39591,Persona 5 the Animation Specials,"['Slice of Life', 'Comedy']","May 29, 2019 to Jun 26, 2019",2.0,5659,5495,3686.0,7.03
5468,10807,Nichijou: Original Jikai Yokoku,"['Slice of Life', 'Comedy', 'School']","Jun 24, 2011 to Jun 29, 2012",25.0,14914,3668,3684.0,7.03
5470,12119,Natsu-iro Kiseki,"['School', 'Slice of Life', 'Supernatural']","Apr 6, 2012 to Jun 29, 2012",12.0,35083,2343,3683.0,7.03
5471,149,Loveless,"['Action', 'Mystery', 'Supernatural', 'Drama', 'Romance', 'Fantasy', 'Josei', 'Shounen Ai']","Apr 7, 2005 to Jun 30, 2005",12.0,109331,1021,3682.0,7.03
5473,23425,Karneval Specials,"['Comedy', 'Josei']","Jun 21, 2013 to Nov 22, 2013",11.0,6975,5025,3680.0,7.03
5474,358,"Iriya no Sora, UFO no Natsu","['Drama', 'Romance', 'Sci-Fi']","Feb 25, 2005 to Jun 29, 2005",6.0,22067,3035,3679.0,7.03
5476,5217,Goal FH: Field Hunter,"['Action', 'Sports']","Apr 4, 1994 to Dec 26, 1994",39.0,1242,9073,3677.0,7.04
5477,1022,Generator Gawl,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Shounen']","Oct 7, 1998 to Dec 23, 1998",12.0,7559,4850,3676.0,7.03
5478,116,El Hazard: The Wanderers,"['Adventure', 'Comedy', 'Romance', 'Fantasy']","Oct 6, 1995 to Mar 29, 1996",26.0,13041,3874,3675.0,7.03
5482,1953,Code Geass: Hangyaku no Lelouch Picture Drama,"['Comedy', 'School', 'Slice of Life']","Jan 27, 2007 to Sep 25, 2007",9.0,41481,2132,3671.0,7.03
